#UID,filename,consideredRecs,unconsideredRecs,avgDxDt,stdevDxDt,avgDyDt,stdevDyDt,dtMax,DxDtMax,DyDtMax,MinX,MinY,MaxX,MaxY,AreaX,AreaY,AreaDiagonal
#Num,538,,,,,,,,,,,,,,,,
62,new_aniajcr.txt,3001,0,219.5331644,369.4007088,259.3628404,419.8045348,13549,4950.006691,13491.92228,37.55222,-122.51128,37.8275,-122.22878,35470.05635,30644.02943,31447.75615
64,new_ankped.txt,3001,0,1035.036614,5220.860875,1928.307008,10988.96707,15444,146407.3943,317794.8823,37.6138,-122.50535,37.87551,-122.15857,41629.18548,29133.42394,38603.37302
66,new_anucks.txt,3001,0,356.5003117,1038.615502,300.0355081,594.9660354,15333,47221.72799,17833.38243,37.59867,-122.50879,37.82529,-122.18837,38137.60438,25227.223,35668.99124
65,new_ansyut.txt,3001,0,211.2061998,1089.644189,247.6579772,2604.264074,12717,46219.85258,123898.5933,37.61433,-122.49723,37.8248,-122.3677,19125.90268,23429.41323,14419.21364
67,new_anupwr.txt,3001,0,266.0095496,440.3438008,262.5000581,350.6529599,49664,5877.669114,6745.961142,37.61389,-122.50472,37.84681,-122.25619,30955.3122,25928.5358,27666.23305
68,new_apigcyd.txt,3001,0,286.2909273,1208.992554,349.1589876,2032.755042,65736,44327.42123,84402.43792,37.43943,-122.4888,37.87228,-122.11981,48479.82213,48184.64159,41075.77891
69,new_appsri.txt,3001,0,260.1244329,494.5240696,262.6947651,446.5687227,98746,13859.2766,12499.58854,37.55536,-122.50618,37.83778,-122.09661,48589.75906,31438.85059,45593.12384
70,new_apsskyul.txt,3001,0,227.1884719,339.4796132,248.4696701,333.4015367,30520,2742.633954,2944.400531,37.36389,-122.53979,37.97116,-122.00342,69769.7274,67600.98717,59708.43528
71,new_aquawaw.txt,3001,0,309.3378644,847.8098508,271.2921716,465.0403759,53595,31191.72132,9016.878754,37.48751,-122.52064,37.97429,-122.18731,47093.14197,54188.10173,37106.12587
72,new_arcksy.txt,3001,0,248.1517023,413.7943734,261.0159676,330.1166721,29460,3873.91828,5159.658398,37.55281,-122.51378,37.80864,-122.26938,31192.00681,28478.86533,27206.48355
73,new_arcuim.txt,3001,0,310.8107317,976.7636984,285.3899236,384.7351375,26368,46887.76952,4608.626919,37.5224,-122.48472,37.83379,-122.26006,31143.36354,34663.77624,25009.0368
74,new_arcurbig.txt,3001,0,297.3462543,2538.924422,269.4413783,608.7132505,25598,136789.3903,22798.23171,37.61348,-122.487,37.82548,-122.19044,35344.2442,23599.73205,33012.90819
75,new_arhilby.txt,3001,0,287.3832038,948.1996393,297.117717,1537.261104,6158,44516.66437,78213.07423,37.55292,-122.54765,37.90691,-122.19351,44712.94939,39405.98655,39422.68447
76,new_arlwras.txt,3001,0,343.0591248,940.6622238,390.0143746,4987.52038,10082,29622.1165,270506.3626,37.42428,-122.47872,37.86841,-122.14115,45939.29011,49440.32545,37578.12051
77,new_arphaud.txt,3001,0,312.8138195,489.9556688,282.7724657,396.0419254,25299,4141.085057,7168.975207,37.61385,-122.48946,37.8555,-122.27324,28051.50359,26900.35495,24069.5003
78,new_artgagvu.txt,3001,0,281.8779691,553.0227536,270.7460512,357.0629318,16037,17766.59073,5810.877419,37.50315,-122.51708,37.94567,-122.18726,45198.31095,49261.10107,36715.39445
